,ID,Post_URL,Img_URL,Likes,Owner,Text,Date
1,CADuNTbiOtX,http://instagram.com/p/CADuNTbiOtX,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/96366696_118847326482652_912800668035542952_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=qGeTRPoQassAX8bzglP&oh=85dba8112d074c3ca3fdf5142bc83e8d&oe=5EE3A390,1,1802519070,"Sheikh Zayed Grand Mosque, Abu Dhabi <U+0001F54C> . . . . . . . #abudhabi#travelexploring#wonderful_places#moodygrams#canonphotographers#wonderfuldestinations#earthofficial#mosque#igersofficial#discoveryglobe#abudhabimosque #igworldclub#magnumphotos70#landscape#discoverabudhabi#visitabudhabi#timeoutabudhabi#abudhabilife#sheikhzayedmosque#fotoviaggi#jumeirah#emiratiarabi#photography#capital#dubaidesert#sunset#travelling#travelabudhabi#dubaipage #ouyyaba",5/12/2020 0:16
2,CADuNKUI8R0,http://instagram.com/p/CADuNKUI8R0,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/97572204_678399552943982_453484667125161968_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=fNFN4teGiJgAX-VW2qR&oh=8be87bf0a6ce5cc9878298b9d4c452d6&oe=5EE222AC,2,2318233536,Quanto monotona sarebbe la faccia della terra senza le montagne. (Immanuel Kant) . Le escursioni raccontate dai vostri scatti:  Tagga @escursionismoit o usa #escursionismoit per condividere le tue foto più belle sulla nostra pagina <U+0001F4F8> .  #citazioni #frasi #trekking #escursioni #escursionismo #montagna #mountains #outdoor #nature #paesaggio #panorama #outdoors #natura #loves_dolomiti #dolomites4you #mydolomiti #dolomiten #insta_dolomiti #trekkingitalia #hikingitaly #senderismo #wandern #wanderlust #outdoorlovers #photooftheday #fotodelgiorno #follow #earthofficial #earthpix,5/12/2020 0:16
3,CADuJegDRBQ,http://instagram.com/p/CADuJegDRBQ,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/96120925_546418972930366_5438172423861308542_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=fIL6QzCPH9IAX_KF6xi&oh=cd6867dc6ec953f8d853a9429c12c19e&oe=5EE2D336,3,15248519566,Warmth <U+0001F60C> . . . . . #sunset #sunsetphotography #sunsetlovers #spring #inspiration #visualoflife #field #moodygrams #outdoors #stayandwander #folkscenery #folkgreen #ourplanetdaily #earthpix #earthofficial #nationalgeographic #discoverearth #tumblr #instacaption #windows #picoftheday #vsco #vscocam #ukraine #stayandwonder #somewheremagazine #naturephotography #naturelovers #natgeo #minimalism,5/12/2020 0:16
4,CADuC_3nWtT,http://instagram.com/p/CADuC_3nWtT,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/96862111_263383878376692_53987069891440843_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=m37jQ7xQNw0AX9yiroa&oh=3cf657ce6d1494aeaa8387977922b12a&oe=5EE2750F,38,6168929379,Cliffside cabin in New Zealand. Would you live here? <U+0001F4F8>: @kylekotajarvi #ShotonLexar,5/12/2020 0:15
5,CADuBQ1F1Gz,http://instagram.com/p/CADuBQ1F1Gz,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/97132267_685326828914290_1656960401029047597_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ICwcZjrhemMAX_Ehkrx&oh=e622e1da918cd2d0c64d41113ededa5b&oe=5EE51B8E,42,1432594712,Hercules 4 weeks old today <U+2764><U+FE0F> #highlandcattle #highlanders #cattle #highlandcow #cow #lehma¨ #highlandcalf #calf #vasikka #yla¨maankarja #organic #lovehighlands #lovecows #ratiaranch #lifeonthefarm #farmlife #renegade_rural #rsa_rural #raw_country #ig_countryside #earthofficial #exclusive_animals #cowsofinstagram #naturegeography #instagram #weeklyfluff #animalsinfluence #viljelija¨eipysa¨hdy #farmersdontstop,5/12/2020 0:15
6,CADt9xyhtkh,http://instagram.com/p/CADt9xyhtkh,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/96940022_922380584858167_8795292972760282434_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Os-SDLIN6MEAX_TJG2P&oh=054fe0286a1af79a2b5c767e90c8ce16&oe=5EBBF47A,7,5602158075,<U+20AD><U+15E9><U+014A>EE_<U+01AC>O<U+1BD3> <U+23CE><U+200F><U+30C4> <U+062A>_<U+0671><U+06AA><U+0001681A> . . . . . <U+0001681B> <U+0001D498><U+0001D486><U+0001D48D><U+0001D484><U+0001D490><U+0001D48E><U+0001D486> <U+0001D495><U+0001D490> <U+0001D498><U+0001D490><U+0001D493><U+0001D48D><U+0001D485> <U+0001D497><U+0001D486><U+0001D485><U+0001D48A><U+0001D490><U+0001D494> <U+00013339> <U+0001333A> __________________________ . . . #knitting #ggallin #reeducaçãoalimentar#hg_picture #gfriend #gfriend #bcaa #hg_picture#hg_picture #vcmochilando #offensivememes#hg_picture #hhauthorisedagent #gf_nature#hg_picture #offensive #gfriend #hgtvdreamhome#jhumkies #gfriend #hg_picture #bgm #bffgoals<U+0001F46D>#httyd #gf_nature #fhvk #cdmx#cddelcarmencampeche #gfriend #vforvictory #lhh#hgtvdreamhome #earthofficial #jenniferaniston#boxbraids #bvcracing #boxbraids#gdragonbigbang #hgtvdreamhome #bffgoals<U+0001F46D>#awesome_globepix #bberzurumspor,5/12/2020 0:15
7,CADt-_mlTp3,http://instagram.com/p/CADt-_mlTp3,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/97144403_164554785085658_2736769510256978828_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ED3GaMZr2scAX_7wz7B&oh=fb4f77bb465ae70782c9496ab6469246&oe=5EE1CEE4,1,28230945091,"41) Jade/Eleplant Bush/Portulacaria afra.  Jade is a succulent plant. It is considered really good in some communities, it is said that plant brings good fortune to their owners.  Plant needs - - - indirect or Artificial bright light is ideal  Water content - - - - soil should be well drained. Do not over  water the plant  Note  this that you have to water immediately after application of fertilizer.  For any insect attack.. Just spray neem oil.. That's enough. That is all I can recall right now. Ill let you guys know if there something else that matters. <U+0001F618>  #jadeplant #elephantbush #organic#lucknowblogger #plantsmakepeoplehappy #pictureoftheday #pictureperfect #tips #hack #knowyourworth#knowbetterdobetter #earthday2020#earth#earthfocus#earthofficial #healthy#healthyliving",5/12/2020 0:15
8,CADt7KFgdGH,http://instagram.com/p/CADt7KFgdGH,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/96947717_1076910052708528_4523612857330830180_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=slvsKY-x2_wAX8faZCm&oh=a133a6f643f98405c7cf488f55d4df41&oe=5EBBD603,0,1572326556,"Bonito nombre para una ciudad... Hehe, curiosa niebla, no?? #Repost @earthofficial • • • • • • Anna, Illinois  Insane cloud tsunami passing through Anna, Illinois <U+0001F62E> Have you ever seen anything like this? | Video by Maranda Benefield #earthofficial",5/12/2020 0:14
9,CADt7aKAh1F,http://instagram.com/p/CADt7aKAh1F,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/96256318_3024005171028296_7928701223260250194_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=_K2_hWyC8ksAX-gB4MD&oh=19b8a679e2bcff6459634263df84616e&oe=5EE2B80F,28,8373857806,Congratulations<U+0001F64F> <U+0001F4F7>@bildrone --------------------------------------------- #travellingthroughtheworld #instagram #earth_deluxe #fantastic_earth #frog #naturegeography #wonderful_places #earthpix #nature #nationalgeographic #colors_of_day  #awesomeearth #awesome_earthpix #animal #awesome #awesomeglobe #earth_shotz #watercolor #earthofficial #moodygrams #Photographer #insta_global #nationaldestinations #beautifuldestinations #ourplanetdaily #landscapelovers#sunset,5/12/2020 0:14
10,CADs88EAuYg,http://instagram.com/p/CADs88EAuYg,https://instagram.fjai5-1.fna.fbcdn.net/v/t51.2885-15/e35/97329622_1643671125797056_7860954085325749742_n.jpg?_nc_ht=instagram.fjai5-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=eA0bxl7R1nsAX_Oiz2u&oh=ffb9dbc3c5d33ff36f98659880d55ec3&oe=5EBBC944,1,288931240,#switzerland #unfiltered #beautifulswitzerland #visitswitzerland #switzerland_vacations #blickheimat #beautifuldestinations #stayandwander #discoverearth #earthofficial #wanderpulse #bealpine #feelthealps #roamtheplanet #earthfocus #nature_perfection,5/12/2020 0:14
